1 79245.000000
2 65252.000000
3 59473.000000
4 56230.000000
5 56062.000000
6 56562.000000
7 57643.000000
8 59805.000000
9 63519.000000
10 65141.000000
11 68702.000000
12 72854.000000
13 72017.000000
14 72764.000000
15 75594.000000
16 81232.000000
17 84547.000000
18 87339.000000
19 91308.000000
20 88709.000000
21 93533.000000
22 89435.000000
23 97199.000000
24 100059.000000
25 99078.000000
26 102684.000000
27 101681.000000
28 102671.000000
29 106040.000000
30 104899.000000
31 107186.000000
32 107530.000000
33 106452.000000
34 112023.000000
35 113191.000000
36 111888.000000
37 113184.000000
38 114982.000000
39 112965.000000
40 114678.000000
41 116435.000000
42 116298.000000
43 118848.000000
44 120325.000000
45 123389.000000
46 119086.000000
47 121754.000000
48 122597.000000
49 121801.000000
50 122615.000000

